 Batch Number,Vendor Name,Invoice Number, Line,Line Amount,Account Description,Issue Date ,Total Amount Paid,Department,proclass,proclass
800118772,ENGIE,1800040679,1,959.20,REACTIVE MEP,06/09/18,"39,636.51",Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118772,ENGIE,1800040679,2,523.32,REACTIVE MEP,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118772,ENGIE,1800040679,3,"1,691.85",REACTIVE MEP,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118772,ENGIE,1800040679,4,842.73,REACTIVE MEP,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118772,ENGIE,1800040679,5,463.42,REACTIVE MEP,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118772,ENGIE,1800040679,6,171.38,REACTIVE MEP,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118772,ENGIE,1800040679,7,463.42,REACTIVE MEP,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118772,ENGIE,1800040679,8,15.18,REACTIVE MEP,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118772,ENGIE,1800040679,9,329.13,REACTIVE MEP,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118772,ENGIE,1800040679,10,"1,286.43",REACTIVE MEP,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118772,ENGIE,1800040679,11,85.32,REACTIVE MEP,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118772,ENGIE,1800040679,12,282.35,REACTIVE MEP,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118772,ENGIE,1800040679,13,"2,040.04",REACTIVE MEP,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118772,ENGIE,1800040679,14,"1,670.84",REACTIVE MEP,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118772,ENGIE,1800040679,15,112.32,REACTIVE MEP,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118772,ENGIE,1800040679,16,24.79,REACTIVE MEP,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118772,ENGIE,1800040679,17,38.59,REACTIVE MEP,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118772,ENGIE,1800040679,18,"1,305.95",REACTIVE MEP,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118772,ENGIE,1800040679,19,265.32,REACTIVE MEP,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118772,ENGIE,1800040679,20,116.78,REACTIVE MEP,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118772,ENGIE,1800040679,21,233.55,REACTIVE MEP,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118772,ENGIE,1800040679,22,103.23,REACTIVE MEP,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118772,ENGIE,1800040679,23,194.94,REACTIVE MEP,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118772,ENGIE,1800040679,24,13.76,REACTIVE MEP,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118772,ENGIE,1800040679,25,12.78,REACTIVE MEP,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118772,ENGIE,1800040679,26,121.17,REACTIVE MEP,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118772,ENGIE,1800040679,27,686.32,REACTIVE MEP,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118772,ENGIE,1800040679,28,19.37,REACTIVE MEP,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118772,ENGIE,1800040679,29,176.26,REACTIVE MEP,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118772,ENGIE,1800040679,30,79.70,REACTIVE MEP,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118772,ENGIE,1800040679,31,61.74,REACTIVE MEP,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118772,ENGIE,1800040679,32,62.16,REACTIVE MEP,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118772,ENGIE,1800040679,33,61.74,REACTIVE MEP,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118772,ENGIE,1800040679,34,121.35,REACTIVE MEP,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118772,ENGIE,1800040679,35,55.26,REACTIVE MEP,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118772,ENGIE,1800040679,36,237.84,REACTIVE MEP,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118772,ENGIE,1800040679,37,10.50,REACTIVE MEP,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118772,ENGIE,1800040679,38,133.54,REACTIVE MEP,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118772,ENGIE,1800040679,39,30.43,REACTIVE MEP,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118772,ENGIE,1800040679,40,116.78,REACTIVE MEP,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118772,ENGIE,1800040679,41,143.34,REACTIVE MEP,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118772,ENGIE,1800040679,42,150.78,REACTIVE MEP,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118772,ENGIE,1800040679,43,38.74,REACTIVE MEP,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118772,ENGIE,1800040679,44,16.40,REACTIVE MEP,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118772,ENGIE,1800040679,45,116.78,REACTIVE MEP,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118772,ENGIE,1800040679,46,126.93,REACTIVE MEP,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118772,ENGIE,1800040679,47,40.43,REACTIVE MEP,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118772,ENGIE,1800040679,48,272.62,REACTIVE MEP,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118772,ENGIE,1800040679,49,143.17,REACTIVE MEP,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118772,ENGIE,1800040679,50,154.00,REACTIVE MEP,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118772,ENGIE,1800040679,51,87.26,REACTIVE MEP,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118772,ENGIE,1800040679,52,734.16,REACTIVE MEP,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118772,ENGIE,1800040679,53,198.95,REACTIVE MEP,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118772,ENGIE,1800040679,54,61.74,REACTIVE MEP,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118772,ENGIE,1800040679,55,170.67,REACTIVE MEP,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118772,ENGIE,1800040679,56,73.47,REACTIVE MEP,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118772,ENGIE,1800040679,57,30.39,REACTIVE MEP,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118772,ENGIE,1800040679,58,40.70,REACTIVE MEP,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118772,ENGIE,1800040679,59,7.28,REACTIVE MEP,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118772,ENGIE,1800040679,60,61.74,REACTIVE MEP,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118772,ENGIE,1800040679,61,96.81,REACTIVE MEP,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118772,ENGIE,1800040679,62,61.74,REACTIVE MEP,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118772,ENGIE,1800040679,63,61.74,REACTIVE MEP,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118772,ENGIE,1800040679,64,177.52,REACTIVE MEP,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118772,ENGIE,1800040679,65,137.67,REACTIVE MEP,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118772,ENGIE,1800040679,66,87.98,REACTIVE MEP,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118772,ENGIE,1800040679,67,86.39,REACTIVE MEP,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118772,ENGIE,1800040679,68,35.69,REACTIVE MEP,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118772,ENGIE,1800040679,69,228.51,REACTIVE MEP,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118772,ENGIE,1800040679,70,221.10,REACTIVE MEP,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118772,ENGIE,1800040679,71,126.67,REACTIVE MEP,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118772,ENGIE,1800040679,72,185.18,REACTIVE MEP,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118772,ENGIE,1800040679,73,59.66,REACTIVE MEP,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118772,ENGIE,1800040679,74,251.18,REACTIVE MEP,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118772,ENGIE,1800040679,75,279.78,REACTIVE MEP,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118772,ENGIE,1800040679,76,151.08,REACTIVE MEP,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118772,ENGIE,1800040679,77,491.62,REACTIVE MEP,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118772,ENGIE,1800040679,78,172.10,REACTIVE MEP,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118772,ENGIE,1800040679,79,115.58,REACTIVE MEP,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118772,ENGIE,1800040679,80,102.49,REACTIVE MEP,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118772,ENGIE,1800040679,81,185.85,REACTIVE MEP,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118772,ENGIE,1800040679,82,82.67,REACTIVE MEP,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118772,ENGIE,1800040679,83,9.72,REACTIVE MEP,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118772,ENGIE,1800040679,84,115.76,REACTIVE MEP,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118772,ENGIE,1800040679,85,77.17,REACTIVE MEP,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118772,ENGIE,1800040679,86,73.66,REACTIVE MEP,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118772,ENGIE,1800040679,87,116.78,REACTIVE MEP,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118772,ENGIE,1800040679,88,49.63,REACTIVE MEP,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118772,ENGIE,1800040679,89,137.67,REACTIVE MEP,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118772,ENGIE,1800040679,90,206.51,REACTIVE MEP,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118772,ENGIE,1800040679,91,226.66,REACTIVE MEP,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118772,ENGIE,1800040679,92,175.16,REACTIVE MEP,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118772,ENGIE,1800040679,93,117.42,REACTIVE MEP,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118772,ENGIE,1800040679,94,92.61,REACTIVE MEP,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118772,ENGIE,1800040679,95,126.67,REACTIVE MEP,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118772,ENGIE,1800040679,96,71.67,REACTIVE MEP,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118772,ENGIE,1800040679,97,104.76,REACTIVE MEP,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118772,ENGIE,1800040679,98,34.74,REACTIVE MEP,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118772,ENGIE,1800040679,99,215.47,REACTIVE MEP,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118772,ENGIE,1800040679,100,138.01,REACTIVE MEP,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118772,ENGIE,1800040679,101,17.04,REACTIVE MEP,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118772,ENGIE,1800040679,102,"1,349.22",REACTIVE MEP,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118772,ENGIE,1800040679,103,292.44,REACTIVE MEP,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118772,ENGIE,1800040679,104,246.78,REACTIVE MEP,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118772,ENGIE,1800040679,105,206.51,REACTIVE MEP,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118772,ENGIE,1800040679,106,106.41,REACTIVE MEP,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118772,ENGIE,1800040679,107,49.63,REACTIVE MEP,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118772,ENGIE,1800040679,108,206.51,REACTIVE MEP,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118772,ENGIE,1800040679,109,229.52,REACTIVE MEP,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118772,ENGIE,1800040679,110,126.72,REACTIVE MEP,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118772,ENGIE,1800040679,111,77.09,REACTIVE MEP,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118772,ENGIE,1800040679,112,39.93,REACTIVE MEP,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118772,ENGIE,1800040679,113,206.51,REACTIVE MEP,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118772,ENGIE,1800040679,114,115.76,REACTIVE MEP,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118772,ENGIE,1800040679,115,104.76,REACTIVE MEP,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118772,ENGIE,1800040679,116,33.09,REACTIVE MEP,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118772,ENGIE,1800040679,117,70.14,REACTIVE MEP,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118772,ENGIE,1800040679,118,171.40,REACTIVE MEP,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118772,ENGIE,1800040679,119,188.08,REACTIVE MEP,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118772,ENGIE,1800040679,120,141.27,REACTIVE MEP,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118772,ENGIE,1800040679,121,35.07,REACTIVE MEP,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118772,ENGIE,1800040679,122,165.43,REACTIVE MEP,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118772,ENGIE,1800040679,123,127.97,REACTIVE MEP,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118772,ENGIE,1800040679,124,206.51,REACTIVE MEP,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118772,ENGIE,1800040679,125,110.26,REACTIVE MEP,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118772,ENGIE,1800040679,126,44.01,REACTIVE MEP,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118772,ENGIE,1800040679,127,85.32,REACTIVE MEP,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118772,ENGIE,1800040679,128,170.65,REACTIVE MEP,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118772,ENGIE,1800040679,129,72.24,REACTIVE MEP,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118772,ENGIE,1800040679,130,41.34,REACTIVE MEP,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118772,ENGIE,1800040679,131,149.84,REACTIVE MEP,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118772,ENGIE,1800040679,132,44.09,REACTIVE MEP,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
