IncidentNumber,FinalDescription [at time of mobilisation],DDDateTimeOfCall,IncType,Motive,ActionParent [firefighting action],[Firefighting] Action,PropertyType,ParentPropertyType,PropertyClass,AtStopDamageSpreadSize,OrganisationName,OrganisationDetail,SaonDescription,StreetDescriptor,PostCode,IncGeo_BoroughName,IncGeo_WardName,LondonBorough,MainCause,LocationFireStarted,LocationOfFirestartOther,MainCauseGroup,IgnitionSourceGroup,WereActiveSafetySystemsPresent,NumberOfFireFightingSystems
097118-26072016,FIRE,26/07/2016 10:50,Primary Fire,Accidental,"Hosereels, jets, monitors",Hosereel (high pressure) (HRJ) - augmented supply,Infant/Primary school,Education,Non Residential,Limited to room of origin,IVYDALE PRIMARY SCHOOL FOA THE HEAD OF BOARD OF GOVERNORS,,,IVYDALE ROAD,SE15 3BU,SOUTHWARK,NUNHEAD,Inner London,Unsafe use of equipment or appliance (heat source),External fittings,,Human Element,Other item,No,0
113761-25082016,AFA ACTUATING,25/08/2016 14:25,Primary Fire,Accidental,None,No firefighting,Pre School/nursery ,Education,Non Residential,Limited to item 1st ignited,,,,CAVERSHAM ROAD,NW5 2DR,CAMDEN,CANTELOWES,Inner London,Fault in equipment or appliance,Reception area,,Faulty Appliance or Supply,Domestic appliances,No,0
115578-28082016,AFA ACTUATING,28/08/2016 14:04,Primary Fire,Accidental,None,No firefighting,Secondary school,Education,Non Residential,,LITTLE ILFORD SCHOOL,,,BROWNING ROAD,E12 6ET,NEWHAM,LITTLE ILFORD,Inner London,Fault in equipment or appliance,Other,School Hall,Faulty Appliance or Supply,Electrical distribution,Unknown,0
122019-09092016,FIRE,09/09/2016 10:59,Primary Fire,Accidental,None,No firefighting,Infant/Primary school,Education,Non Residential,Limited to item 1st ignited,,,,MARMONT ROAD,SE15 5TD,SOUTHWARK,PECKHAM,Inner London,Combustible articles too close to heat source (or fire),Corridor/Hall,,Human Element,Heating appliances,No,0
124555-13092016,FIRE,13/09/2016 20:35,Primary Fire,Accidental,,Other,Secondary school,Education,Non Residential,Limited to room of origin,,,,DAMSON WAY,SM5 4NS,SUTTON,CARSHALTON SOUTH AND CLOCKHOUSE,Outer London,Combustible articles too close to heat source (or fire),Other,class room,Human Element,Other ignition source,No,0
124871-14092016,FIRE,14/09/2016 13:39,Primary Fire,Deliberate,Portable extinguishers,Extinguisher - other,Secondary school,Education,Non Residential,Limited to room of origin,,,MAIN SCHOOL BUILDING,BUSHEY ROAD,SW20 0JL,MERTON,RAYNES PARK,Outer London,Heat source and combustibles brought together deliberately,Bathroom/Toilet,,Human Element,Other ignition source,Unknown,0
128178-21092016,FIRE IN KITCHEN,21/09/2016 09:57,Primary Fire,Accidental,"Hosereels, jets, monitors",Hosereel (high pressure) (HRJ) - augmented supply,Secondary school,Education,Non Residential,Limited to room of origin,CENTRAL FOUNDATION GIRLS' SCHOOL,,,HARLEY GROVE,E3 2AT,TOWER HAMLETS,BOW WEST,Inner London,Combustible articles too close to heat source (or fire),Kitchen,,Human Element,Kitchen appliances,No,0
128683-22092016,FIRE H241 ORDERED AS COMPLETION OF FULL FIRE ATTENDANCE,22/09/2016 12:56,Primary Fire,Accidental,Portable extinguishers,"Water, soda acid, gas expulsion etc (water stored pressure)",Infant/Primary school,Education,Non Residential,Limited to item 1st ignited,,,,QUEEN'S GATE,SW7 5LF,KENSINGTON AND CHELSEA,COURTFIELD,Inner London,Combustible articles too close to heat source (or fire),Kitchen,,Human Element,Cooker,No,0
132164-29092016,FIRE,29/09/2016 13:04,Primary Fire,Accidental,Small means,Disconnection of fuel supply,Infant/Primary school,Education,Non Residential,Limited to item 1st ignited,,,,WICKHAM STREET,DA16 3BP,BEXLEY,EAST WICKHAM,Outer London,Fault in equipment or appliance,Other,Classroom,Faulty Appliance or Supply,Electrical distribution,No,0
132630-30092016,SMOKE IN BOILER ROOM,30/09/2016 11:49,Primary Fire,Accidental,None,No firefighting,Pre School/nursery ,Education,Non Residential,Limited to item 1st ignited,,,,ALVERTON STREET,SE8 5NH,LEWISHAM,EVELYN,Inner London,Faulty fuel supplies – Electricity,Store room,,Faulty Appliance or Supply,Electrical distribution,No,0
134639-04102016,FIRE IN KITCHEN          THE CHILDRENS HOUSE SCHOOL,04/10/2016 10:23,Primary Fire,Accidental,Small means,Removal from/of heat source,Infant/Primary school,Education,Non Residential,,THE CHILDRENS HOUSE,,,ELMORE STREET,N1 3AQ,ISLINGTON,CANONBURY,Inner London,Combustible articles too close to heat source (or fire),Kitchen,,Human Element,Cooker,No,0
138693-12102016,AFA ACTUATING,12/10/2016 09:02,Primary Fire,Accidental,Small means,Water - from bucket/containers,Pre School/nursery ,Education,Non Residential,Limited to room of origin,NOAH'S ARK COMMUNITY NURSERY,,,PELTER STREET,E2 7PE,TOWER HAMLETS,WEAVERS,Inner London,Cooking – other cooking,Kitchen,,Human Element,Cooker,No,0
141142-17102016,FUSE CUPBOARD ALIGHT  -,17/10/2016 19:48,Primary Fire,Accidental,Portable extinguishers,CO2 (carbon dioxide),Secondary school,Education,Non Residential,Limited to item 1st ignited,,,,BURNTWOOD LANE,SW17 0AQ,WANDSWORTH,EARLSFIELD,Inner London,Faulty fuel supplies – Electricity,Power house/Plant/Generator,,Faulty Appliance or Supply,Electrical distribution,No,0
147994-31102016,FIRE,31/10/2016 15:23,Primary Fire,Accidental,Small means,Water - from bucket/containers,Secondary school,Education,Non Residential,Limited to item 1st ignited,WAR MEMORIAL/OLD HARROVIAN RM,,,HIGH STREET,HA1 3HL,HARROW,HARROW ON THE HILL,Outer London,Chimney fire,Chimney,,Human Element,Other item,Unknown,0
152603-08112016,FIRE IN KITCHEN STAFF WILL MEET YOU,08/11/2016 19:58,Primary Fire,Accidental,Portable extinguishers,Extinguisher - other,Secondary school,Education,Non Residential,Limited to room of origin,,,,OLD MILL ROAD,SE18 1QF,GREENWICH,GLYNDON,Outer London,Natural occurrence,Canteen/Restaurant,,Other,White goods,No,0
152990-09112016,FIRE ELECTRICAL INTAKE ROOM,09/11/2016 14:24,Primary Fire,Accidental,None,No firefighting,Secondary school,Education,Non Residential,,,,,TULSE HILL,SW2 3UP,LAMBETH,THURLOW PARK,Inner London,Faulty fuel supplies – Electricity,Power house/Plant/Generator,,Faulty Appliance or Supply,Electrical distribution,No,0
153803-11112016,SMOKE ISSUING FROM ELECTRIC METER,11/11/2016 10:10,Primary Fire,Accidental,None,No firefighting,Infant/Primary school,Education,Non Residential,Limited to item 1st ignited,,,,EDINBURGH ROAD,E17 7QB,WALTHAM FOREST,MARKHOUSE,Outer London,Faulty fuel supplies – Electricity,"Under stairs (enclosed, storage area)",,Faulty Appliance or Supply,Electrical distribution,No,0
155748-15112016,FIRE,15/11/2016 14:08,Primary Fire,Accidental,None,No firefighting,Secondary school,Education,Non Residential,,,,,WOODFORD BRIDGE ROAD,IG4 5FD,REDBRIDGE,CLAYHALL,Outer London,Accumulation of flammable material,Other,Classroom,Human Element,Electrical distribution,No,0
158443-21112016,FIRE ALL OUT,21/11/2016 11:57,Primary Fire,Accidental,None,No firefighting,Pre School/nursery ,Education,Non Residential,Limited to item 1st ignited,STARTEL DAY NURSERY & BABY UNIT,,,HOLMWOOD GARDENS,SM6 0HN,SUTTON,WALLINGTON SOUTH,Outer London,Cooking – other cooking,Kitchen,,Human Element,Kitchen appliances,No,0
159394-23112016,FIRE AT NUMBER 89,23/11/2016 16:58,Primary Fire,Deliberate,"Hosereels, jets, monitors",Hosereel (high pressure) (HRJ) - tank supply only,Secondary school,Education,Non Residential,Limited to item 1st ignited,,,,BETHUNE ROAD,N16 5ED,HACKNEY,WOODBERRY DOWN,Inner London,Heat source and combustibles brought together deliberately,Roof,,Human Element,Matches and Candles,No,0
165728-06122016,AFA ACTUATING,06/12/2016 16:29,Primary Fire,Accidental,None,No firefighting,Secondary school,Education,Non Residential,Limited to item 1st ignited,,,,ABBS CROSS LANE,RM12 4YB,HAVERING,ST. ANDREW'S,Outer London,Fault in equipment or appliance,Other,Staff Room,Faulty Appliance or Supply,Audio-Visual,No,0
166427-08122016,FIRE,08/12/2016 00:52,Primary Fire,Accidental,"Hosereels, jets, monitors",Hosereel (high pressure) (HRJ) - tank supply only,Infant/Primary school,Education,Non Residential,Limited to room of origin,,,,RUSHCROFT ROAD,E4 8SG,WALTHAM FOREST,LARKSWOOD,Outer London,Cooking – other cooking,Kitchen,,Human Element,Cooker,No,0
170991-18122016,SKIP ALIGHT OPPOSITE,18/12/2016 02:29,Primary Fire,Deliberate,"Hosereels, jets, monitors",Hosereel (high pressure) (HRJ) - augmented supply,Infant/Primary school,Education,Non Residential,Limited to item 1st ignited,CHERRY TREE SPECIAL SCHOOL,,,CAMPBELL ROAD,E3 4EA,TOWER HAMLETS,BROMLEY NORTH,Inner London,Heat source and combustibles brought together deliberately,Other,in skip outside and spread to building,Human Element,Other ignition source,No,0
005014-12012017,FIRE ALL OUT   LANTERNS SCHOOL,12/01/2017 16:00,Primary Fire,Accidental,Small means,Water - domestic supply,Pre School/nursery ,Education,Non Residential,Limited to item 1st ignited,,,,MILLHARBOUR,E14 9XP,TOWER HAMLETS,CANARY WHARF,Inner London,Fault in equipment or appliance,Other,classroom,Faulty Appliance or Supply,Heating appliances,No,0
006455-16012017,SMELL OF SMOKE IN SCHOOL,16/01/2017 08:47,Primary Fire,Accidental,None,No firefighting,Infant/Primary school,Education,Non Residential,Limited to room of origin,ST CHRISTOPHER'S SCHOOL,,,WEMBLEY PARK DRIVE,HA9 8HE,BRENT,PRESTON,Outer London,"Overheating, unknown cause",Bathroom/Toilet,,Faulty Appliance or Supply,Electrical distribution,No,0
007767-19012017,AFA ACTUATING,19/01/2017 10:14,Primary Fire,Accidental,None,Burned out (Allowed to burn under control),Secondary school,Education,Non Residential,Limited to room of origin,,,,STANSTEAD ROAD,SE6 4TY,LEWISHAM,RUSHEY GREEN,Inner London,Fault in equipment or appliance,Office,,Faulty Appliance or Supply,Heating appliances,No,0
007790-19012017,AFA ACTUATING,19/01/2017 11:57,Primary Fire,Accidental,Portable extinguishers,"Water, soda acid, gas expulsion etc (water stored pressure)",Secondary school,Education,Non Residential,Limited to item 1st ignited,VILLIERS HIGH SCHOOL,,,BOYD AVENUE,UB1 3BT,EALING,SOUTHALL BROADWAY,Outer London,Accumulation of flammable material,Utility room,,Human Element,DIY,No,0
007795-19012017,FIRE EAST WICKHAM ACADEMY,19/01/2017 12:19,Primary Fire,Accidental,Small means,Removal from/of heat source,Infant/Primary school,Education,Non Residential,Limited to item 1st ignited,,,,WICKHAM STREET,DA16 3BP,BEXLEY,EAST WICKHAM,Outer London,Faulty fuel supplies – Electricity,Office,,Faulty Appliance or Supply,Lighting,No,0
007825-19012017,SMOKE ISSUING,19/01/2017 14:03,Primary Fire,Accidental,None,No firefighting,Infant/Primary school,Education,Non Residential,Limited to item 1st ignited,EAST WICKHAM INFANT SCHOOL,,,WICKHAM STREET,DA16 3BP,BEXLEY,EAST WICKHAM,Outer London,Faulty fuel supplies – Electricity,"Under stairs (enclosed, storage area)",,Faulty Appliance or Supply,Electrical distribution,No,0
012629-30012017,FIRE,30/01/2017 09:33,Primary Fire,Accidental,None,No firefighting,Infant/Primary school,Education,Non Residential,Limited to item 1st ignited,SALUSBURY PRIMARY SCHOOL,,,SALUSBURY ROAD,NW6 6RG,BRENT,QUEENS PARK,Outer London,Accumulation of flammable material,Chimney,,Human Element,Other item,No,0
012759-30012017,FIRE ALARM ACTUATING   .,30/01/2017 15:14,Primary Fire,Accidental,,Other,Secondary school,Education,Non Residential,Limited to room of origin,,,,DUKES AVENUE,KT2 5QY,KINGSTON UPON THAMES,TUDOR,Outer London,Fault in equipment or appliance,Office,,Faulty Appliance or Supply,Other item,No,0
014210-03022017,AFA ACTUATING,03/02/2017 09:26,Primary Fire,Not Known,Small means,Disconnection of fuel supply,Secondary school,Education,Non Residential,Limited to item 1st ignited,,,,GREENFORD ROAD,UB6 9AW,EALING,GREENFORD BROADWAY,Outer London,Faulty fuel supplies – Electricity,Kitchen,,Faulty Appliance or Supply,Electrical distribution,Yes,1
014983-05022017,THREE PUMP FIRE AL ONE     FIRE SAFETY OFFICER REQUIRED,05/02/2017 05:13,Primary Fire,Deliberate,"Hosereels, jets, monitors",Main branch/Jet (J),Infant/Primary school,Education,Non Residential,Limited to 2 floors (not whole building),,,MAIN BUILDING,LATYMER ROAD,N9 9PL,ENFIELD,HASELBURY,Outer London,Heat source and combustibles brought together deliberately,Other,External store area,Human Element,Other ignition source,No,0
017226-10022017,FIRE,10/02/2017 16:30,Primary Fire,Accidental,None,No firefighting,Pre School/nursery ,Education,Non Residential,Limited to item 1st ignited,,,,ESKDALE AVENUE,UB5 5DJ,EALING,NORTHOLT MANDEVILLE,Outer London,Fault in equipment or appliance,Kitchen,,Faulty Appliance or Supply,Domestic appliances,No,0
023252-24022017,AFA ACTUATING,24/02/2017 11:19,Primary Fire,Accidental,None,No firefighting,Pre School/nursery ,Education,Non Residential,,,,,OAKDEN STREET,SE11 4UG,LAMBETH,PRINCE'S,Inner London,Accumulation of flammable material,Kitchen,,Human Element,White goods,No,0
024611-27022017,ABANDONED CALL TO FIRE,27/02/2017 09:39,Primary Fire,Accidental,Small means,Cutting away,Secondary school,Education,Non Residential,Limited to room of origin,TEDDINGTON SCHOOL,,,BROOM ROAD,TW11 9PJ,RICHMOND UPON THAMES,HAMPTON WICK,Outer London,Combustible articles too close to heat source (or fire),Other,Science Lab,Human Element,Other ignition source,Yes,1
025400-01032017,AFA ACTUATING   FIU REQUESTED FROM SCENE,01/03/2017 13:53,Primary Fire,Accidental,"Hosereels, jets, monitors",Hosereel (high pressure) (HRJ) - augmented supply,Secondary school,Education,Non Residential,Limited to room of origin,,,,ABBS CROSS LANE,RM12 4YB,HAVERING,ST. ANDREW'S,Outer London,Unsafe use of heat source - due to unsafe disposal,Other,Science Lab,Human Element,Other ignition source,No,0
026289-03032017,SMOKE ISSUING,03/03/2017 14:18,Primary Fire,Accidental,Portable extinguishers,Dry powder (DP),Infant/Primary school,Education,Non Residential,Limited to room of origin,BRENTFIELD PRIMARY SCHOOL,,,MEADOW GARTH,NW10 0SL,BRENT,STONEBRIDGE,Outer London,Faulty fuel supplies – Electricity,Utility room,,Faulty Appliance or Supply,Electrical distribution,No,0
027926-07032017,SMELL OF BURNING AND AFA ACTUATING,07/03/2017 13:15,Primary Fire,Accidental,"Hosereels, jets, monitors",Hosereel (high pressure) (HRJ) - tank supply only,Secondary school,Education,Non Residential,Limited to item 1st ignited,,,,MARLBOROUGH PARK AVENUE,DA15 9DL,BEXLEY,SIDCUP,Outer London,Unsafe use of equipment or appliance (heat source),Roof,,Human Element,DIY,No,0
027937-07032017,AFA ACTUATING,07/03/2017 14:07,Primary Fire,Accidental,None,No firefighting,Secondary school,Education,Non Residential,Limited to item 1st ignited,,,,WILTSHIRE LANE,HA5 2LX,HILLINGDON,NORTHWOOD HILLS,Outer London,Faulty fuel supplies – Electricity,Kitchen,,Faulty Appliance or Supply,Electrical distribution,No,0
031505-15032017,FIRE AT SCHOOL        FIU REQUIRED,15/03/2017 21:00,Primary Fire,Accidental,"Hosereels, jets, monitors",Hosereel (high pressure) (HRJ) - augmented supply,Secondary school,Education,Non Residential,External roof only,,,,BURGHLEY ROAD,NW5 1UJ,CAMDEN,KENTISH TOWN,Inner London,Fault in equipment or appliance,Roof,,Faulty Appliance or Supply,Other item,No,0
034720-23032017,SMELL OF BURNING FROM FUSE BOX MAIN RECEPTION,23/03/2017 07:50,Primary Fire,Accidental,Small means,Disconnection of fuel supply,Infant/Primary school,Education,Non Residential,Limited to item 1st ignited,,,,PELHAM ROAD,DA7 4HL,BEXLEY,BARNEHURST,Outer London,Faulty fuel supplies – Electricity,Power house/Plant/Generator,,Faulty Appliance or Supply,Electrical distribution,No,0
035172-24032017,FIRE,24/03/2017 09:18,Primary Fire,Accidental,"Hosereels, jets, monitors",Hosereel (high pressure) (HRJ) - tank supply only,Pre School/nursery ,Education,Non Residential,Limited to room of origin,LOXFORD CHILDRENS CENTRE,,LOXFORD CHILDRENS CENTRE,ILFORD LANE,IG1 2LG,REDBRIDGE,LOXFORD,Outer London,Cooking – other cooking,Kitchen,,Human Element,Cooker,No,0
037586-29032017,FIRE    DAY NURSERY   FIU REQUIRED,29/03/2017 13:17,Primary Fire,Accidental,Portable extinguishers,"Water, soda acid, gas expulsion etc (water stored pressure)",Pre School/nursery ,Education,Non Residential,Limited to item 1st ignited,INSPIRE DAY NURSERY,,,WINDMILL ROAD,CR0 2XP,CROYDON,SELHURST,Outer London,Fault in equipment or appliance,Utility room,,Faulty Appliance or Supply,Other ignition source,No,0
047393-17042017,COOKER ON FIRE,17/04/2017 11:48,Primary Fire,Accidental,Small means,Water - from bucket/containers,Pre School/nursery ,Education,Non Residential,Limited to item 1st ignited,ALL SAINTS PRE SCHOOL,,,MELBOURNE ROAD,E10 7HF,WALTHAM FOREST,LEA BRIDGE,Outer London,Combustible articles too close to heat source (or fire),Kitchen,,Human Element,Cooker,No,0
047770-18042017,SMELL OF BURNING  RUNNING CALL,18/04/2017 08:20,Primary Fire,Accidental,Small means,Disconnection of fuel supply,Pre School/nursery ,Education,Non Residential,Limited to item 1st ignited,TOP TOTS DAYCARE,,,MALLING CLOSE,CR0 7YD,CROYDON,ASHBURTON,Outer London,Faulty fuel supplies – Electricity,Meeting room,,Faulty Appliance or Supply,Electrical distribution,No,0
051039-24042017,SMOKE ISSUING FROM DRYER,24/04/2017 11:21,Primary Fire,Accidental,Small means,Cutting away,Secondary school,Education,Non Residential,Limited to item 1st ignited,MULBERRY SCHOOL FOR GIRLS,,,RICHARD STREET,E1 2JP,TOWER HAMLETS,SHADWELL,Inner London,Combustible articles too close to heat source (or fire),Boiler room,,Human Element,White goods,No,0
052653-27042017,SMOKE ISSUING FROM JUNIOR SCHOOL   NEXT TO SIDEWALK,27/04/2017 17:14,Primary Fire,Deliberate,"Hosereels, jets, monitors",Hosereel (high pressure) (HRJ) - tank supply only,Infant/Primary school,Education,Non Residential,Limited to item 1st ignited,,,,TORRIANO AVENUE,NW5 2RX,CAMDEN,KENTISH TOWN,Inner London,Heat source and combustibles brought together deliberately,External structures,,Human Element,Matches and Candles,No,0
056132-05052017,AFA ACTUATING,05/05/2017 12:22,Primary Fire,Accidental,None,No firefighting,Infant/Primary school,Education,Non Residential,,RAVENSBOURNE SCHOOL,,,NEAVE CRESCENT,RM3 8HN,HAVERING,HEATON,Outer London,Fault in equipment or appliance,Corridor/Hall,,Faulty Appliance or Supply,Lighting,No,0
059388-12052017,FIRE,12/05/2017 08:01,Primary Fire,Accidental,None,No firefighting,Secondary school,Education,Non Residential,Limited to item 1st ignited,,,,SENIOR STREET,W2 5TL,WESTMINSTER,WESTBOURNE,Inner London,Cooking – chip pan/deep fat fryer,Kitchen,,Human Element,Kitchen appliances,No,0
060956-15052017,DRYER ALIGHT IN SCHOOL,15/05/2017 15:06,Primary Fire,Accidental,Small means,Water - from bucket/containers,Infant/Primary school,Education,Non Residential,Limited to item 1st ignited,,,,WORDSWORTH ROAD,N16 8BZ,HACKNEY,SHACKLEWELL,Inner London,Combustible articles too close to heat source (or fire),Utility room,,Human Element,White goods,No,0
062310-18052017,FIRE AL-NOOR PRIMARY SCHOOL FIU REQUESTED FROM INCIDENT,18/05/2017 08:09,Primary Fire,Accidental,"Hosereels, jets, monitors",Hosereel (high pressure) (HRJ) - augmented supply,Infant/Primary school,Education,Non Residential,Limited to item 1st ignited,,,AL NOOR PRIMARY SCHOOL,EASTERN AVENUE WEST,RM6 5SD,REDBRIDGE,CHADWELL,Outer London,Unsafe use of equipment or appliance (heat source),Reception area,,Human Element,Heating appliances,No,0
072721-07062017,AFA ACTUATING,07/06/2017 10:35,Primary Fire,Accidental,Small means,Disconnection of fuel supply,Infant/Primary school,Education,Non Residential,Limited to item 1st ignited,STANHOPE PRIMARY SCHOOL,,,MANSELL ROAD,UB6 9EG,EALING,GREENFORD BROADWAY,Outer London,Faulty fuel supplies – Electricity,Power house/Plant/Generator,,Faulty Appliance or Supply,Electrical distribution,No,0
073335-08062017,NOTICE BOARD ALIGHT INSIDE THE BUILDING,08/06/2017 16:56,Primary Fire,Deliberate,None,No firefighting,Secondary school,Education,Non Residential,Limited to item 1st ignited,,,,LITTLE DEAN'S YARD,SW1P 3PH,WESTMINSTER,ST. JAMES'S,Inner London,Heat source and combustibles brought together deliberately,Corridor/Hall,,Human Element,Matches and Candles,No,0
075444-12062017,AFA ACTUATIING,12/06/2017 23:50,Primary Fire,Accidental,Portable extinguishers,Foam - AFFF (Aqueous Film Forming Foam),Infant/Primary school,Education,Non Residential,Limited to floor of origin (not whole building),RIVERSTON SCHOOL,,,ELTHAM ROAD,SE12 8UF,GREENWICH,MIDDLE PARK AND SUTCLIFFE,Outer London,Fault in equipment or appliance,Office,,Faulty Appliance or Supply,Audio-Visual,No,0
075662-13062017,AFA ACTUATING,13/06/2017 13:11,Primary Fire,Accidental,None,No firefighting,Secondary school,Education,Non Residential,Limited to item 1st ignited,,,,CROWN DALE,SE19 3NY,LAMBETH,KNIGHT'S HILL,Inner London,"Overheating, unknown cause",Kitchen,,Faulty Appliance or Supply,White goods,No,0
077761-16062017,FIRE,16/06/2017 11:54,Primary Fire,Accidental,None,No firefighting,Pre School/nursery ,Education,Non Residential,Limited to room of origin,,,,WANDSWORTH BRIDGE ROAD,SW6 2NX,HAMMERSMITH AND FULHAM,SANDS END,Inner London,Cooking – other cooking,Kitchen,,Human Element,Cooker,No,0
079937-19062017,CONTAINER IN GROUNDS SMOULDERING,19/06/2017 14:49,Primary Fire,Accidental,"Hosereels, jets, monitors",Hosereel (high pressure) (HRJ) - tank supply only,Secondary school,Education,Non Residential,Limited to room of origin,THE COMPTON SCHOOL,,,SUMMERS LANE,N12 0QG,BARNET,WOODHOUSE,Outer London,Cooking – other cooking,Other,storage unit ,Human Element,Cooker,No,0
080486-20062017,AFA ACTUATING AT SCHOOL,20/06/2017 09:44,Primary Fire,Accidental,None,No firefighting,Infant/Primary school,Education,Non Residential,,SAINT-JEROME CHURCH OF ENGLAND BILINGUAL SCHOOL,,,STATION ROAD,HA1 2DJ,HARROW,GREENHILL,Outer London,Cooking – other cooking,Kitchen,,Human Element,Cooker,No,0
081149-21062017,AFA ACTUATING AND SMELL OF BURNING,21/06/2017 06:20,Primary Fire,Accidental,,Other,Infant/Primary school,Education,Non Residential,Limited to item 1st ignited,,,,BUCK STREET,NW1 8NJ,CAMDEN,CAMDEN TOWN WITH PRIMROSE HILL,Inner London,Faulty fuel supplies – Electricity,Corridor/Hall,,Faulty Appliance or Supply,Lighting,No,0
081859-22062017,FIRE,22/06/2017 09:28,Primary Fire,Accidental,None,No firefighting,Infant/Primary school,Education,Non Residential,Limited to item 1st ignited,SOUTH HARRINGAY JUNIOR SCHOOL,,,MATTISON ROAD,N4 1BD,HARINGEY,HARRINGAY,Inner London,Combustible articles too close to heat source (or fire),Kitchen,,Human Element,Cooker,No,0
082367-23062017,FIRE,23/06/2017 07:25,Primary Fire,Accidental,"Hosereels, jets, monitors",Hosereel (high pressure) (HRJ) - tank supply only,Pre School/nursery ,Education,Non Residential,Limited to room of origin,,,,WOODBINE PLACE,E11 2RH,REDBRIDGE,SNARESBROOK,Outer London,Faulty fuel supplies – Electricity,Other,Class Room,Faulty Appliance or Supply,Lighting,No,0
082536-23062017,FIRE ALL OUT ON ROOF,23/06/2017 14:21,Primary Fire,Accidental,None,No firefighting,Secondary school,Education,Non Residential,Limited to item 1st ignited,ST VINCENT'S CATHOLIC PRIMARY SCHOOL,,,PIERREPOINT ROAD,W3 9JR,EALING,ACTON CENTRAL,Outer London,Faulty leads to equipment or appliance,Roof,,Faulty Appliance or Supply,Electrical distribution,No,0
084852-26062017,SMOKE ISSUING FROM LIGHTING,26/06/2017 19:52,Primary Fire,Accidental,Small means,Cutting away,Infant/Primary school,Education,Non Residential,Limited to item 1st ignited,ALPHA PREPARATORY SCHOOL,,,HINDES ROAD,HA1 1SH,HARROW,GREENHILL,Outer London,Fault in equipment or appliance,Other,classroom,Faulty Appliance or Supply,Lighting,No,0
086735-30062017,FIRE IN TOILET - THIS IS JAMIATUL UMMAH SCHOOL,30/06/2017 17:15,Primary Fire,Deliberate,"Hosereels, jets, monitors",Hosereel (high pressure) (HRJ) - tank supply only,Infant/Primary school,Education,Non Residential,Limited to room of origin,JAMIATUL UMMAH SCHOOL,,,BIGLAND STREET,E1 2ND,TOWER HAMLETS,SHADWELL,Inner London,Heat source and combustibles brought together deliberately,Bathroom/Toilet,,Human Element,Matches and Candles,No,0
087204-01072017,SMELL OF BURNING AND POWER FAILURE     IN SCHOOL OPPOSITE CHURCH      STAFF ON SITE,01/07/2017 15:18,Primary Fire,Accidental,Small means,Disconnection of fuel supply,Infant/Primary school,Education,Non Residential,Limited to item 1st ignited,LA PETITE ECOLE BILINGUE,,,VICAR'S ROAD,NW5 4NL,CAMDEN,GOSPEL OAK,Inner London,Fault in equipment or appliance,Other,class room,Faulty Appliance or Supply,Lighting,No,0
089211-04072017,FIFTEEN PUMP FIRE - BASEMENT PROCEDURE IMPLEMENTED STAGE 2 BA CYLINDERS CONFIRMED ALP X 1 BFU X 1 RV,04/07/2017 23:57,Primary Fire,Accidental,"Hosereels, jets, monitors",Main branch/Jet (J),Infant/Primary school,Education,Non Residential,Whole building,,,,BELZ TERRACE,E5 9BG,HACKNEY,SPRINGFIELD,Inner London,Faulty leads to equipment or appliance,Other,basement,Faulty Appliance or Supply,Other ignition source,No,0
090508-07072017,SMELL OF BURNING,07/07/2017 05:04,Primary Fire,Accidental,None,No firefighting,Infant/Primary school,Education,Non Residential,,,,,BATTERSEA HIGH STREET,SW11 3JB,WANDSWORTH,ST. MARY'S PARK,Inner London,Faulty leads to equipment or appliance,Office,,Faulty Appliance or Supply,Electrical distribution,No,0
090819-07072017,FIRE,07/07/2017 15:42,Primary Fire,Accidental,None,No firefighting,Infant/Primary school,Education,Non Residential,Limited to item 1st ignited,,,MONTEM PRIMARY SCHOOL,HORNSEY ROAD,N7 7QT,ISLINGTON,FINSBURY PARK,Inner London,Faulty fuel supplies – Electricity,Reception area,,Faulty Appliance or Supply,Electrical distribution,No,0
093292-11072017,AFA ACTUATING,11/07/2017 03:40,Primary Fire,Accidental,"Hosereels, jets, monitors",Hosereel (high pressure) (HRJ) - tank supply only,Secondary school,Education,Non Residential,Limited to room of origin,,,,BEAVERWOOD ROAD,BR7 6HE,BROMLEY,CHISLEHURST,Outer London,Accumulation of flammable material,Other,Science prep room,Human Element,Other ignition source,No,0
093350-11072017,SMELL OF BURNING AFA ACTUATING,11/07/2017 08:40,Primary Fire,Accidental,None,No firefighting,Pre School/nursery ,Education,Non Residential,Limited to item 1st ignited,LONDON ROAD NURSERY,,LONDON ROAD NURSERY,LONDON ROAD,HA9 7EX,BRENT,WEMBLEY CENTRAL,Outer London,Cooking – other cooking,Kitchen,,Human Element,Cooker,No,0
093376-11072017,AFA ACTUATING,11/07/2017 09:25,Primary Fire,Accidental,None,No firefighting,Infant/Primary school,Education,Non Residential,Limited to item 1st ignited,JAMES CAMBELL PRIMARY SCHOOL,,,LANGLEY CRESCENT,RM9 6TD,BARKING AND DAGENHAM,GORESBROOK,Outer London,Cooking – other cooking,Other,classroom,Human Element,Kitchen appliances,No,0
093415-11072017,AFA ACTUATING,11/07/2017 10:52,Primary Fire,Accidental,Small means,Disconnection of fuel supply,Infant/Primary school,Education,Non Residential,Limited to item 1st ignited,JUBILEE PRIMARY SCHOOL,,,FILEY AVENUE,N16 6NR,HACKNEY,CAZENOVE,Inner London,Faulty fuel supplies – Electricity,Utility room,,Faulty Appliance or Supply,Electrical distribution,No,0
